#スプレッドシートで計算
#tone:5001 start:500nm end:3950nm delta_n:0.5
#thickness,hex_color_code
984.38,B34A53
985.07,B24954
985.76,B24955
986.45,B24855
987.14,B14856
987.83,B14757
988.52,B14657
989.21,B04658
989.9,B04559
990.59,B04459
991.28,AF445A
991.97,AF435B
992.66,AE425B
993.35,AE425C
994.04,AE415D
994.73,AD415D
995.42,AD405E
996.11,AD3F5F
996.8,AC3F5F
997.49,AC3E60
998.18,AC3D61
998.87,AB3D61
999.56,AB3C62
1000.25,AB3B63
1000.94,AA3B63
1001.63,AA3A64
1002.32,A93965
1003.01,A93965
1003.7,A93866
1004.39,A83767
1005.08,A83667
1005.77,A83668
1006.46,A73569
1007.15,A73469
1007.84,A6346A
1008.53,A6336A
1009.22,A6326B
1009.91,A5316C
1010.6,A5316C
1011.29,A5306D
1011.98,A42F6E
1012.67,A42E6E
1013.36,A32E6F
1014.05,A32D6F
1014.74,A32C70
1015.43,A22B71
1016.12,A22A71
1016.81,A22A72
1017.5,A12972
1018.19,A12873
1018.88,A02774
1019.57,A02674
1020.26,A02675
1020.95,9F2575
1021.64,9F2476
1022.33,9E2377
1023.02,9E2277
1023.71,9E2178
1024.4,9D2078
1025.09,9D1F79
1025.78,9C1E7A
1026.47,9C1D7A
1027.16,9C1C7B
1027.85,9B1B7B
1028.54,9B1A7C
1029.23,9A197D
1029.92,9A187D
1030.61,9A177E
1031.3,99167E
1031.99,99157F
1032.68,98137F
1033.37,981280
1034.06,981181
1034.75,970F81
1035.44,970E82
1036.13,960C82
1036.82,960A83
1037.51,950883
1038.2,950784
1038.89,950585
1039.58,940385
1040.27,940186
1040.96,930086
1041.65,930087
1042.34,920087
1043.03,920088
1043.72,920088
1044.41,910089
1045.1,91008A
1045.79,90008A
1046.48,90008B
1047.17,8F008B
1047.86,8F008C
1048.55,8F008C
1049.24,8E008D
1049.93,8E008D
1050.62,8D008E
1051.31,8D008E
1052,8C008F
1052.69,8C0090
1053.38,8C0090
1054.07,8B0091
1054.76,8B0091
1055.45,8A0092
1056.14,8A0092
1056.83,890093
1057.52,890093
1058.21,880094
1058.9,880094
1059.59,870095
1060.28,870095
1060.97,870096
1061.66,860096
1062.35,860097
1063.04,850097
1063.73,850098
1064.42,840098
1065.11,840099
1065.8,830099
1066.49,83009A
1067.18,82009A
1067.87,82009B
1068.56,81009B
1069.25,81009C
1069.94,80009D
1070.63,80009D
1071.32,7F009E
1072.01,7F009E
1072.7,7E009F
1073.39,7E009F
1074.08,7D00A0
1074.77,7D00A0
1075.46,7D00A0
1076.15,7C00A1
1076.84,7C00A1
1077.53,7B00A2
1078.22,7B00A2
1078.91,7A00A3
1079.6,7A00A3
1080.29,7900A4
1080.98,7900A4
1081.67,7800A5
1082.36,7700A5
1083.05,7700A6
1083.74,7600A6
1084.43,7600A7
